Title_si,Title_en,Lyricist,Lyricist_en,Lyrics,Singer,Singer_en,Composer,Composer_en,Metaphor,Source,Target,Intepretation
ලෙන්චිනා මගෙ නංගියේ,Lenchina Mage Nangiye,රත්න ශ්‍රී විජේසිං,Rathan Sri Wijesinghe,"ලෙන්චිනා මගෙ නංගියේ ඇයි
ගංතෙරට වී ගොම්මනේ
ලෙන්චිනා මගෙ නංගියේ ඇයි
ගංතෙරට වී ගොම්මනේ

පෙත්තරේ ලඟ පැන් තොටේ ගම්මානයේ පව් සෝදනා

රත්තරන් වී කළු වලාකුළු

චන්ද්‍රයා සේ පායලා
ලෙන්චිනා ඇති වැඩ කලා දැන්
ගෙදර යං කළුවර වුණා

ලෙන්චිනා මගෙ නංගියේ ඇයි

ගංතෙරට වී ගොම්මනේ
ලෙන්චිනා මගෙ නංගියේ ඇයි
ගංතෙරට වී ගොම්මනේ

පින්වතුන් කැල ඇන්ද සළුපිලි

සේදුවා නුඹ සේදුවා
තාම නෑ කිලි කුණු ගිහින් ඒ
කිම්ද නොදැනේ කාරණා
සේදිලා පරිශුද්ධ වීමෙන්
යුග දෑත් නුඹෙ බබලනා

ලෙන්චිනා මගෙ නංගියේ ඇයි

ගංතෙරට වී ගොම්මනේ
ලෙන්චිනා මගෙ නංගියේ ඇයි
ගංතෙරට වී ගොම්මනේ",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,ලෙන්චිනා මගෙ නංගියේ ඇයි ගංතෙරට වී ගොම්මනේ,ගොම්මන,අඳුරු තමන්ගෙ උරුමය,ඇය හැමදාමත් මේ විදියට අඳුරට වෙලා වැඩ කරන්නෙ ඒක තමන්ගෙ උරුමය හෝ  කරුමය ලෙස සලකමින්.ඒ අඳුරෙම ඉන්නෙ ඇයි?
වෙරළු ගෙඩිය,Weralu Gediya,වසන්ත කුමාර කොබවක,Wasantha Kumara Kobawaka,"වෙරළු ගෙඩිය හරි අටකට කපාගෙන.
කොටහක් නොකා දෙගුරුන්ටත් තබාගෙන.
උන් අපි එදා සත් කුළු පවු විලාසෙන...
පැළ ඉනි වැටට ඇයි අද ඇන කොටාගෙන.
පොඩි උන් දොහේ මල් මතකය ඉරාගෙන.
හොඳ හිත ගිහින් උඩු හුළඟට ගසා ගෙන...//
මහගෙයි බිමට තනි උරුමය කියාගෙන...
සතුරන් වෙලා උනුනට දෙස් තියාගෙන...
වෙරළු ගෙඩිය හරි අතකට කපාගෙන.
කොටහක් නොකා දෙගුරුන්ටත් තබාගෙන.
උන් අපි එදා සත් කුළු පවු විලාසෙන...
පැළ ඉනි වැටට ඇයි අද ඇන කොටාගෙන.
තිරිසන් උනෝතින් කිසි හවු හරන නැතී...
ලන්දක කකා ලන්දක කල් යල් අරිතී...//
එක මිහි සයන කාටත් නිති සුවය දෙතී...
බිම් පංගුවට ලොල් වී මල ගම නොයතී...
වෙරළු ගෙඩිය හරි අතකට කපාගෙන.
කොටහක් නොකා දෙගුරුන්ටත් තබාගෙන.
උන් අපි එදා සත් කුළු පවු විලාසෙන...
පැළ ඉනි වැටට ඇයි අද ඇන කොටාගෙන.",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,වික්ටර් රත්නායක,Victor Rathnayake,මල් මතකය,මල,මතකය,පුංචි කාලෙයේ මතකය මලක් වගේ සුන්දරයි
මේ තරම් සියුමැලිද කළු ගල්,Mee Tharam Siyumalida Kalu Gal,රජී වෙල්ගම,Rajee Welgama,"මේ තරම් සියුමැලිද කළුගල්

හිතන්නටවත් බැරි නිසා

මම ගියා අවුකන බුදුන්ටත්
දෑස් දුන් මිනිසා සොයා...
දෑස් දුන් මිනිසා සොයා...

කලා වැව ළඟ ඉලුක් හෙවණක
මැටි පිලක පැදුරක් එලා
රිදුම් පිරිමදිමින් බලයි ඔහු
මැරෙන ඉපදෙන රළ දිහා...
මැරෙන ඉපදෙන රළ දිහා...

ඉසුරුමුණියේ නුඹ තැනූ
පෙම්බරිය කොතැනද කියා
මා ඇසූ විට හිනැහුනා ඔහු
තවම තනිකඩයැයි කියා...
තවම තනිකඩයැයි කියා...
මේ තරම් සියුමැලිද කළුගල්

හිතන්නටවත් බැරි නිසා

මම ගියා අවුකන බුදුන්ටත්
දෑස් දුන් මිනිසා සොයා...
දෑස් දුන් මිනිසා සොයා...
දෑස් දුන් මිනිසා සොයා...
දෑස් දුන් මිනිසා සොයා...",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,දර්ශන රුවන් දිසානයක,Darshana Ruwan Disanayake,මේ තරම් සියුමැලිද කළු ගල්,කළු ගල්,ශිල්පියාගෙ සිත,ඉතා අමාරු නිර්මාණ කරන කළු ගල් ශිල්පියාගෙ සිත කොහොමද මෙතරම් සියුමැලි  උනේ
අවපස අහසක,Awapasa Ahasaka,කුලරත්න ආරියවංස,Kularathna Ariyawansha,"අවපස අහසක තරු ලකුණක් සේ
අපමණ සයුරක තුරු දසුනක් සේ
දිගු දිවි ගමනේ
ඉම ඔබ රැදුනේ...
මාවත අවහිර නිමවා
දළ රළ පෙළ සැතපෙනවා
සැලමුතු සෙනෙහස මද පවනක් වී
ගැබරේ නිම මුමුනනවා...
දෝතක අසෙනිය ගවසා
ඔබ පෙරමග හිනැහෙනවා
විකසිත සිහිනේ සුබ කවියක් වී
දෙනෙතේ සිත ලියවෙනවා...
අවපස අහසක තරු ලකුණක් සේ
අපමණ සයුරක තුරු දසුනක් සේ
දිගු දිවි ගමනේ
ඉම ඔබ රැදුනේ...
අවපස අහසක තරු ලකුණක් සේ
අපමණ සයුරක තුරු දසුනක් සේ
දිගු දිවි ගමනේ
ඉම ඔබ රැදුනේ...",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,සැළමුතු සෙනෙහස මඳ පවනක් වී ගැඹරේ නිම මුමුණනවා,මද පවන,සැළමුතු සෙනෙහස,මද පවනක් අහස් ගැඹේ මුමුණන්නාක් මෙන් ඔබේ සෙනෙහස මගේ සිතේ සැරිසරයි
මහ වැස්සක් බිමට හලා,Maha Wassak Bimata Hala,සුනිල් දයානන්ද සේකර,Sunil Dayanada Sekara,"මහ වැස්සක් බිමට හලානිදහස් වූ අහසක් සේ

ඔබ නිසොල්මනේ එපා හිඳින්න
ඔබේ නිහඬ බව මට බෑ දරාන ඉන්න
අනේ තව ටිකකින් හිනාවෙලා කථා කරන්න
ඔබේ නිහඬ බව මට බෑ දරාන ඉන්න

විරසක සුසුම් මහගෙයි පුරා ඇසෙන්නේ

කවුළු දොරින් ගෙට එන
නිදි නැති අටවක සඳ
තනි යහනේ සරදම් රටා වියන්නේ

මහ වැස්සක් බිමට හලානිදහස් වූ අහසක් සේ

ඔබ නිසොල්මනේ එපා හිඳින්න
ඔබේ නිහඬ බව මට බෑ දරාන ඉන්න
අනේ තව ටිකකින් හිනාවෙලා කථා කරන්න
ඔබේ නිහඬ බව මට බෑ දරාන ඉන්න


විස කටු ඇනී ආතුර වූ සිතට ඔබේ
ඔබ මට කියා දුන්න
සෙත් කවියක් කියන්න
නිවැරදි මිනිසුන් කොයි දෙසද ඉපදුණේ

මහ වැස්සක් බිමට හලානිදහස් වූ අහසක් සේ

ඔබ නිසොල්මනේ එපා හිඳින්න
ඔබේ නිහඬ බව මට බෑ දරාන ඉන්න
අනේ තව ටිකකින් හිනාවෙලා කථා කරන්න

ඔබේ නිහඬ බව මට බෑ දරාන ඉන්න",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,සුනිල් දයානන්ද සේකර,Sunil Dayanada Sekara,මහ වැස්සක් බිමට හලා නිදහස් වූ අහසක් සේ ඔබ,මහ වැස්ස,ඔබ,මහ වැස්සකට පසු ඇතිවෙන නිහඬ බව වගේ ඔබේ නිහඬ බව
අහස පොළව,Ahasa Polawa,යමුනා මාලිනී පෙරේරා,Yamuna Malini Perera,"අහස පොළව වටපිටාව හරිම හිස්තැනක්

ගහක් කොළක් දියක් නොමැති කාන්තාරයක්
ඇදී එන්න ඒ මොහොතේ හඬාවැටෙන හද මඬලට
ඔබයි මමයි ඉන්නා තැන කොහිද තනිකමක්
නැහැනේ තනිකමක්

අහස පොළව වටපිටාව හරිම හිස්තැනක්
ගහක් කොළක් දියක් නොමැති කාන්තාරයක්
ඇදී එන්න ඒ මොහොතේ හඬාවැටෙන හද මඬලට
ඔබයි මමයි ඉන්නා තැන කොහිද තනිකමක්
නැහැනේ තනිකමක්

කනට මිණක තරුවක රුව

නොපෙනුනි ඔබ දකින තුරා
ලොවක සිරිය නොදුටිමි මා
ඔබෙ සෙනෙහස ලබන තුරා

අහස පොළව වටපිටාව හරිම හිස්තැනක්

ගහක් කොළක් දියක් නොමැති කාන්තාරයක්
ඇදී එන්න ඒ මොහොතේ හඬාවැටෙන හද මඬලට
ඔබයි මමයි ඉන්නා තැන කොහිද තනිකමක්
නැහැනේ තනිකමක්

විලක දොලක සුව නොලදිමි

ඔබ මා හා රැඳෙන තුරා
මලෙක සුවඳ ඇත මසිතේ
ඔබ මා ළඟ සිටින තුරා

අහස පොළව වටපිටාව හරිම හිස්තැනක්

ගහක් කොළක් දියක් නොමැති කාන්තාරයක්
ඇදී එන්න ඒ මොහොතේ හඬාවැටෙන හද මඬලට
ඔබයි මමයි ඉන්නා තැන කොහිද තනිකමක්
නැහැනේ තනිකමක්",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,මලක සුවඳ ඇත මසිතේ ඔබ මා ලඟ සිටින තුරා,මලක සුවඳ,ඔබ,ඔබේ මතකයන් මලක සුවඳ මෙන් මිහිරිය
චන්ද්‍ර මණ්ඩලේ,Chandra Mandale,"
රත්න ශ්‍රී විජේසිංහ",Rathna Sri Wijesinghe,"චන්ද්ර මණ්ඩලේ සැතපුන පුංචි සාවියේ
මන්ද කියාපන් නොකියා හැංගිලා ගියේ
පාන නිවුන සේ පාළුයි ලැයිම් කාමරේ
මන්ද නුඹ ගියේ කියපන් පුංචි සාවියේ
ලාබ රත්තරන් දිලිසෙන පාළු වීදියේ
ගෑනු ළමයි පියාඹලා ඉස්සරත් ගියේ
උන්ට සෙයිලමේ මග තොට පාර වැරදුනේ
අන්න ඒ නිසයි මට දුක රත්තරන් දුවේ
චන්ද්ර මණ්ඩලේ සැතපුන පුංචි සාවියේ
මන්ද කියාපන් නොකියා හැංගිලා ගියේ
මාල බැදන් සුදු යකඩින් රෝස මල් වනේ
මාල ගිරව් ගේ දොරකඩ සින්දු කිව් වෙලේ
හීනෙනුත් හිතුනේ නෑ මට මොකද කාරනේ
පාර මතක නම් තාමත් ගේ ලඟයි දුවේ
චන්ද්ර මණ්ඩලේ සැතපුන පුංචි සාවියේ
මන්ද කියාපන් නොකියා හැංගිලා ගියේ
පාන නිවුන සේ පාළුයි ලැයිම් කාමරේ
මන්ද නුඹ ගියේ කියපන් පුංචි සාවියේ",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,චන්ද්‍ර මණ්ඩලේ සැතපුණ පුංචි සාවියේ,සඳ සහ හාවා,"
අහිංසක දරුවන්",සදෙන් වෙන් නොවන හාවෙකු මෙන් අහිංසක දරුවන්
රන් සමනලයෝ,Ran Samanalayoo,ප්‍රේම කීර්ති ද අල්විස්,Prema Keerthi de Alwis,"රන් සමනළයෝ පුංචි කැකුළියෝ
දේදුන්නේ නැඟිලා //
මීදුම් සළුවේ තුරු මල් උයනේ
කොයි යන්නේ පියඹා
රන් සමනළයෝ පුංචි කැකුළියෝ
දේදුන්නේ නැඟිලා
පෙම්බර ආල හිතේ ගී නොවෙදෝ ගැයුවේ
මොළකැටි බාල වියේ ඒ හුරතල් කොතැනේ
මව් දෑතින් මිදුණාදෝ
යෞවනයේ මත් වීදෝ
රන් සමනළයෝ පුංචි කැකුළියෝ
දේදුන්නේ නැඟිලා //
ලද මනමාල හිතේ ආදරයේ සුවඳේ
තව නොදිටීද ලොවේ ජීවිතයේ අරුමේ
මල් යහනා පැතුවාදෝ
ඒ යහනා හමුවේදෝ
රන් සමනළයෝ පුංචි කැකුළියෝ
දේදුන්නේ නැඟිලා //
මීදුම් සළුවේ තුරු මල් උයනේ
කොයි යන්නේ පියඹා
රන් සමනළයෝ පුංචි කැකුළියෝ
දේදුන්නේ නැඟිලා",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,සරත් ද අල්විස්,Sarath de Alwis, රන් සමනලයෝ පුංචි කැකුලියෝ දේදුන්නේ නැඟිලා, රන් සමනලයා,පුංචි දරුවන්,පුංචි දරුවන්  රන් සමනලයින් මෙන් ලස්සනයි අහිංසකයි
ඈ නුවන් තාරකා දල්වා,Aa Nuwan Tharaka Dalwa,ප්‍රේම කීර්ති ද අල්විස්,Prema Keerthi de Alwis,"ඈ නුවන් තාරකා දල්වා වෙන්වී ගියා නෑ ආදරේ ඈ සිතේ මා තරම් …

ලංවී පෙමින් මන්මත් කර ඈ හැගුම් පාවී ගියා මීදුම් කදුළක් ලෙසින් නෑ ආදරේ ඈ සිතේ මා තරම්
ඈ නුවන් තාරකා …..
සුන්වූ හදින් පැතුමන් බොඳ වූ ලොවින් ආයේ දැනෙයි සුවදක් සිරුරේ ඇගෙන් නෑ ආදරේ ඈ සිතේ මා තරම්
ඈ නුවන් තාරකා …..",ටී.එම්.ජයරත්න,T.M.Jayarathna,වික්ටර් රත්නායක,Victor Rathnayake,ඈ නුවන් තාරකා දල්වා ,තරු,ඇගේ ඇස්,ඇගේ ඇස් අහසේ පායන තාරකා මෙන් අලෝකමත් වේ
සදකඩපහණක,Sandakada Pahanaka,"
වොලි නානායක්කාර",Voeli Nanayakkara,"සඳකඩ පහනක කැටයම් ඔපලා පාවෙන දේදුනු ලැගුම් ගනී
කැලතුනු රසයක පැන ආ බුබුළක් අකුරු වැලක් දෙහදක ලියැවේ
යුගයෙන් යුගයට නොමියෙන දහනක දිවියක පදනම මතු වෙද්දී
නොපෙනෙන ඈතක ඈ ගෙන යනවා සියුමැලි කැකුලක් මැලවෙද්දී
සියුමැලි කැකුලක් මැලවෙද්දී
දහසක් පෙති මත රහසක් කොඳුරා තුඩින් තුඩට ගෙන යන බින්දු
ගව්වක් ඉහළක ගොනුකොට රඳවා පොපියන දෙතොලක් එහි කැන්දූ
අහසක් ගුගුරා කලුවක් වපුරා ඒ හා මුහුවුනු වැහි බින්දු
ඈ ගෙන යද්දී නටඹුන් අතරෙක තවකෙක් ඈ වෙත හද රැන්දූ
තවකෙක් ඈ වෙත හද රැන්දූ
සඳකඩ පහනක කැටයම් ඔපලා පාවෙන දේදුනු ලැගුම් ගනී
කැලතුනු රසයක පැන ආ බුබුළක් අකුරු වැලක් දෙහදක ලියැවේ
යුගයෙන් යුගයට නොමියෙන දහනක දිවියක පදනම මතු වෙද්දී
නොපෙනෙන ඈතක ඈ ගෙන යනවා සියුමැලි කැකුලක් මැලවෙද්දී
සියුමැලි කැකුලක් මැලවෙද්දී
හද විල ඉපැදුනු කැකුලක් නොතලති නටුවෙන් ගලවා දුරට යවා
මිහිලිය තෙත් කොට ගිලිහුණු කඳුළක් සත්සමුදුරකට මුහුව ගියා
ඔබට උරුම වූ රිදුනු තැවුනු හද එක්ටැම් මැදුරක කවුළු අරා
රුවන් විමානෙන් පියඹා එනතුරු පොපියන හදවත සිටී බලා
පොපියන හදවත සිටී බලා
සිටී බලා",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,වික්ටර් රත්නායක,Victor Rathnayake,සදකඩපහණක කැටයම් ඔපලා පාවෙන දේදුණු ලැගුම් ගනී,සදකඩපහණ,ස්ථිර ආදරය,සඳකඩපහණක කැටයම් සේම ස්ථීර යයි සිතූ ප්‍රේමය අද පාවෙන දේදුන්නක් තරමටම වෙනස් වන සිතුවිල්ලක් පමණකි.
රන් මලක් ලෙස,Ran Malak Lesa,කුමාරදාස සපුතන්ත්‍රී,Kumaradaasa Saputhanthri,"රන් මලක් ලෙස දෙව් බඹුන්
දෝතින් පිදූ මේ පින් බිමේ
පස් පිඬක් ගිලිහී නොයන්නට
රන් වැටක් ඇත සිව් කොනේ
නෙත් පුරා එක හීනයේ
මුළු ලෝකයා නිදනා රැයේ
දේශයේ මුර දේවතා එළි
රෑ පුරා දැල්වී තියේ
ළෙහි හොවා වැඩු සිය පුතුන් අත
අවි දරා වැද රණ මතින්
පෑ විකුම් මැද දෑ බැතින් හිස
අත් මුදුන් දෙති පියවරුන්
මව් බිමේ හිමිකම් පතා තම
දිවි පිදූ කල ඒ පුතුන්
තුන් හෙළේ හැම මව්වරුන් ළය
කිරි එරී ඇත උන් නමින්
රන් මලක් ලෙස දෙව් බඹුන්
දෝතින් පිදූ මේ පින් බිමේ
පස් පිඩක් ගිලිහී නොයන්නට
රන් වැටක් ඇත සිව් කොනේ
මවු කුසින් නොව මිහි කුසින්
සිරිලක උපන් විරු දරුවනේ
අපි ඔබෙන් නව පණ ලබා මෙහි
යළි උපන්නෙමු අද දිනේ
නෑ සියන් සොයුරන් ඔබේ අද
දූ පුතුන් හැම මේ බිමේ
හදවතින් අපි යුද බිමේ ඔබ
තනි කළේ නැත කිසි දිනේ
හදවතින් අපි යුද බිමේ ඔබ
තනි කළේ නැත කිසි දිනේ
හදවතින් අපි යුද බිමේ ඔබ
තනි කළේ නැත කිසි දිනේ
හදවතින් අපි යුද බිමේ ඔබ
තනි කළේ නැත කිසි දිනේ",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,දේශයේ මුර දේවතා එළි රෑ පුරා දැල් වී තිබේ,ආලෝකය,ආරක්ෂාව,දේශය ආරක්ෂා කරන්නට දවසපුරා යුධ වදින හමුදාව
අම්මා සඳකි,Amma Sandaki ,"
මාලිනී ජයරත්න",Malini Jayarathna,"අම්මා සඳකි මම ඒ ලොව හිරුය රිදී
ඒ ඉර හදෙන් නුඹෙ ලෝකය එළිය වුනි
රැකුමට පුතුන් දිවියේ දුක් ගැහැට විදී
පිය සෙනෙහසට කව් ගී ලියැවුනා මදී
සිරුරේ දුවන්නේ මගෙ ලේ නොවැ පුතුනේ
කුසයේ නොදැරුවත් දිවි බර මට රැදුනේ
මහ මෙරකට උසයි දරු පෙම හදපතුලේ
පුදුමයි පුතුනි කිම මගෙ ලේ කිරි නොවුනේ
මවකට මුවාවී නුඹවෙත දිවි දුන්නේ
මම වෙමි පුතුනි එය මා පමණයි දන්නේ
පියසෙනෙහස නැතිද දරුවනි හදුනන්නේ
අම්මාවරුන් පමණද මතු බුදු වන්නේ",ටී.එම්.ජයරත්න,T.M.Jayarathna,රෝහණ වීරසිංහ,Rohana Weerasinghe,අම්මා සඳකි,සඳ,අම්මා,අම්මා සඳක් මෙන් අපේ ජීවිත අලෝකමත් කරයි
පි‍න්න පිපුනු,Pinna Pipunu,කුලරත්න ආරියවංශ,Kularathna Ariyawansa,"පි‍න්න පිපුනු ලන්ද දිගේ 
ඉරට මුකුළු පාන මල්කැලේ
අපි රංචු ගැහී යමු වගේ පුංචි සන්දියේ

බැද්ද පුරා දං වාරේ රංචු ගැහුනු දඟ කාලේ
ඉස්කෝලෙන් කට්ටි පැන්න දා 
දම් පාට උනා වේවැල් පාරේ

කන්ද කපා හෙලූ වෙලේ බැද්ද ගියා පිට පාරේ
යාළු මිතුරු කතා ගොළුවෙලා 
දැන් පාළු වෙලා ඒ ගම්මානේ",ටී.එම්.ජයරත්න,T.M.Jayarathna,රෝහණ වීරසිංහ,Rohana Weerasinghe,පි‍න්න පිපුනු ලන්ද දිගේ ඉරට මුකුළු පාන මල්කැලේ ,ඉර හා මල්,උදෑසන,ඉර උදාවත් සමග පිපෙන ලස්සන මල් උදෑසන මල් සහ වැටෙන පිනි බින්දු
හිරුට හොරෙන්,Hiruta Horen,කුලරත්න ආරියවංශ,Kularathna Ariyawansa,"හිරුට හොරෙන්
සඳුට හොරෙන්
තරු මල් උයනේ
ලොවට හොරෙන්
සැදූ ලොවයි
අපේ ආදරේ
ඔබේ නුවන් තරු එළියෙන්
ඒ ලෝකයේ සිරි නරඹන්නම්
තවත් කුමටදෝ එළියක්
මගේ ලෝකයේ
හිරුට හොරෙන්
සඳුට හොරෙන්
තරු මල් උයනේ
ලොවට හොරෙන්
සැදූ ලොවයි
අපේ ආදරේ
ඔබේ වදන් අම සරයෙන්
ඒ ලෝකයේ නද රැව් දේ නම්
තවත් කුමටදෝ මිහිරක්
අපේ ලෝකයේ
හිරුට හොරෙන්
සඳුට හොරෙන්
තරු මල් උයනේ
ලොවට හොරෙන්
සැදූ ලොවයි
අපේ ආදරේ",ටී.එම්.ජයරත්න,T.M.Jayarathna,රෝහණ වීරසිංහ,Rohana Weerasinghe,ඔබේ වදන් අම සරයෙන්,අම සරය,ඔබේ වදන්,ඇයගේ කටහඬ අම සරය මෙන් මිහිරිය
"නාමල් පිපිලා
මේ වැව් ඉවුරේ",Namal Pipila ,කුලරත්න ආරියවංශ,Kularathna Ariyawansa,"නාමල් පිපිලා
මේ වැව් ඉවුරේ
නා තුරු සෙවනැල්ලේ
මල් පාවඩ සැදිලා
බලා හිඳින්නේ
ඔබේ දෙපා පොඩි සිප ගන්නයි
නාමල් පිපිලා
මේ වැව් ඉවුරේ
නා තුරු සෙවනැල්ලේ
මල් පාවඩ සැදිලා
බලා හිඳින්නේ
ඔබේ දෙපා පොඩි සිප ගන්නයි
පාළු සැඳෑවේ
මේ වැව් ඉවුරේ
මගේ දෙනෙත් මග බලා සිටින්නේ
පාළු සැඳෑවේ
මේ වැව් ඉවුරේ
මගේ දෙනෙත් මග බලා සිටින්නේ
පුරා හඳක්සේ වනලිය අතරින්
ඔබේ සිනාවත පිපෙන තුරා
නාමල් පිපිලා
මේ වැව් ඉවුරේ
නා තුරු සෙවනැල්ලේ
මල් පාවඩ සැදිලා
බලා හිඳින්නේ
ඔබේ දෙපා පොඩි සිප ගන්නයි
නීල තලාවේ
මේ ගඟුලැල්ලේ
රිදී කඳන් සැලි සැලී රඟන්නේ
නීල තලාවේ
මේ ගඟුලැල්ලේ
රිදී කඳන් සැලි සැලී රඟන්නේ
නදී සඳැල්ලේ රන්කම් විලසින්
ඔබේ දෙපා යුග නැගෙන තුරා
නාමල් පිපිලා
මේ වැව් ඉවුරේ
නා තුරු සෙවනැල්ලේ
මල් පාවඩ සැදිලා
බලා හිඳින්නේ
ඔබේ දෙපා පොඩි සිප ගන්නයි",ටී.එම්.ජයරත්න,T.M.Jayarathna,රෝහණ වීරසිංහ,Rohana Weerasinghe,පුරා හඳක්සේ වනලිය අතරින් ඔබේ සිනාවත පිපෙන තුරා,සඳ,ඔබේ හිනාව,ඔබේ හිනාව පුරා සඳක් සේ අලෝකමත්ය සුන්දරය
සොදුරු අතීතයේ,Sonduru Athethaye,"
මාලිනී ජයරත්න",Malini Jayarathna,"සොඳුරු අතීතයේ නිමල පැතුම වී...
මගෙ හද තුල ඔබ ඉන්න ඇති...
ඒ හින්දා යලි සෙනෙහෙ සිතින් අපි...
ආදරයෙන් හමුවෙන්න ඇති...

සොඳුරු අතීතයේ නිමල පැතුම වී...
මගෙ හද තුල ඔබ ඉන්න ඇති...
ඒ හින්දා යලි සෙනෙහෙ සිතින් අපි...
ආදරයෙන් හමුවෙන්න ඇති...

කඳුළු සුසුම් මැද සතුටු සිනා මැද...
භවය පුරා ලඟ ඉන්න ඇති..
එදත් මගේ සිත අද මෙන් කැපවී...
ඔබේ නමට පුද දෙන්න ඇති...

සොඳුරු අතීතයේ නිමල පැතුම වී...
මගෙ හද තුල ඔබ ඉන්න ඇති...
ඒ හින්දා යලි සෙනෙහෙ සිතින් අපි...
ආදරයෙන් හමුවෙන්න ඇති...

නොසැලී නොතැවී බාධක හමුවේ...
ආ හින්දා ජය ගන්න ඇති...
ආත්ම ගණනේ පුරුදු ලෙසින් අපි...
මේ අයුරින් හමුවෙන්න ඇති...

සොඳුරු අතීතයේ නිමල පැතුම වී...
මගෙ හද තුල ඔබ ඉන්න ඇති...
ඒ හින්දා යලි සෙනෙහෙ සිතින් අපි...
ආදරයෙන් හමුවෙන්න ඇති...

සොඳුරු අතීතයේ නිමල පැතුම වී...
මගෙ හද තුල ඔබ ඉන්න ඇති...
ඒ හින්දා යලි සෙනෙහෙ සිතින් අපි...
ආදරයෙන් හමුවෙන්න ඇති...",ටී.එම්.ජයරත්න,T.M.Jayarathna,රෝහණ වීරසිංහ,Rohana Weerasinghe,සොදුරු අතීතයේ නිමල පෑතුම වී මගේ හද තුල ඔබ ඉන්න ඈතී,පෑතුම,ඔබ,දිවි ඇතිතුරා මාගේ එකම පැතුම ඔබයි
සිතින් මා නොසැලී,Sithin Maa Nosali,ප්‍රේම කීර්ති ද අල්විස්,Prema Keerthi de Alwis,"හිතින් මා නොසැලි ඉදිද්දි
කඳුල නුඹ ඇවිදින්
නිවා දැමු ඒ නෙතේ පිඩා
නොබිඳිනු මැනවී...
තනිව මා හඬනා වෙලාවේ
සැලී සැලී සීතේ
වැටුනු මහා වරුසා මතක්වී
නුඹ රැදි දෑසේ...
හිතින් මා නොසැලි ඉදිද්දි
කඳුල නුඹ ඇවිදින්
නිවා දැමු ඒ නෙතේ පිඩා
නොබිඳිනු මැනවී...
තවම මා නොදුටු සිනාකැන්
හමුනොවු යාමේ
කඳුල මට කරැණා කරන්නැයි
අයදිමි නිබඳේ...
හිතින් මා නොසැලි ඉදිද්දි
කඳුල නුඹ ඇවිදින්
නිවා දැමු ඒ නෙතේ පිඩා
නොබිඳිනු මැනවී...",ටී.එම්.ජයරත්න,T.M.Jayarathna,"
ස්ටැන්ලි පීරිස්",Stanley Peiris,වැටුනු මහ වරුසා මතක්වී නුඹ රැදී දෑසේ,වැස්ස,කඳුල,මහ වරුසාවක් මෙන් කඳුලු ගලනවා
